date,division,store_id,product_category,sku_id,sku_name,basket_driver,cold_chain,dc_on_hand,in_store_stock_start,sales_units,in_store_stock_end,oos_flag,store_po_id,store_po_qty
2025-06-21,Batavia,2,Produce,SKU-BAN-001,Bananas Cavendish 1lb,True,False,1772,90,42,135,0,STPO-E36630C9,87.0
2025-06-21,Batavia,2,Produce,SKU-APP-001,Apples Gala 3lb,True,False,1451,158,29,129,0,,
2025-06-21,Batavia,2,Produce,SKU-APP-002,Apples Honeycrisp 2lb,False,False,1919,137,10,127,0,,
2025-06-21,Batavia,2,Produce,SKU-ORG-001,Oranges Navel 4lb,False,False,2206,121,19,102,0,,
2025-06-21,Batavia,2,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,False,True,1569,89,25,64,0,,
2025-06-21,Batavia,2,Produce,SKU-BER-001,Berries Strawberries 1lb,False,True,2657,105,17,88,0,,
2025-06-21,Batavia,2,Seasonal,SKU-WML-001,Watermelon Seedless Whole,False,False,2780,136,5,131,0,,
2025-06-21,Batavia,2,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,False,False,1013,76,4,72,0,,
2025-06-21,Batavia,3,Produce,SKU-BAN-001,Bananas Cavendish 1lb,True,False,1665,73,45,135,0,STPO-237E97A8,107.0
2025-06-21,Batavia,3,Produce,SKU-APP-001,Apples Gala 3lb,True,False,1451,147,19,128,0,,
2025-06-21,Batavia,3,Produce,SKU-APP-002,Apples Honeycrisp 2lb,False,False,1919,74,19,55,0,,
2025-06-21,Batavia,3,Produce,SKU-ORG-001,Oranges Navel 4lb,False,False,2206,141,11,130,0,,
2025-06-21,Batavia,3,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,False,True,1569,138,19,119,0,,
2025-06-21,Batavia,3,Produce,SKU-BER-001,Berries Strawberries 1lb,False,True,2657,117,22,95,0,,
2025-06-21,Batavia,3,Seasonal,SKU-WML-001,Watermelon Seedless Whole,False,False,2780,61,7,54,0,,
